fandom_id,original_work
380233,Harry Potter by J. K. Rowling
2430569,Harry Potter by J. K. Rowling
17732855,Harry Potter by J. K. Rowling
8125531,Harry Potter by J. K. Rowling
3725452,Harry Potter by J. K. Rowling
13792248,Harry Potter by J. K. Rowling
1385362,Harry Potter by J. K. Rowling
29409711,Harry Potter by J. K. Rowling
4731860,Harry Potter by J. K. Rowling
28230387,Harry Potter by J. K. Rowling
8676250,Harry Potter by J. K. Rowling
13133676,Harry Potter by J. K. Rowling
16731783,Harry Potter by J. K. Rowling
16689439,Harry Potter by J. K. Rowling
391329,Harry Potter by J. K. Rowling
7249360,Harry Potter by J. K. Rowling
7610077,Harry Potter by J. K. Rowling
1127771,Harry Potter by J. K. Rowling
15732231,Marvel Cinematic Universe
745690,X-men
7909156,Marvel Cinematic Universe
11579664,Marvel Cinematic Universe
12949662,Marvel Cinematic Universe
6725662,Marvel Cinematic Universe
12634773,Marvel Cinematic Universe
2081859,Marvel Cinematic Universe
23007160,Marvel Cinematic Universe
28158168,Marvel Cinematic Universe
9582161,Marvel Cinematic Universe
25569982,Marvel Cinematic Universe
14681208,Marvel Cinematic Universe
15872067,Marvel Cinematic Universe
17126087,Marvel Cinematic Universe
17099468,Marvel Cinematic Universe
11900241,Marvel Cinematic Universe
16282148,Marvel Cinematic Universe
37667683,Marvel Cinematic Universe
20798489,Marvel Cinematic Universe
14486631,Marvel Cinematic Universe
8887009,Fate stay night and Fate Zero
3649257,Fate stay night and Fate Zero
7134677,Fate stay night and Fate Zero
22193686,Fate stay night and Fate Zero
6071830,Fate Grand Order
3774955,Fate stay night and Fate Zero
5962915,Star Wars
5511290,Star Wars
38656698,Star Wars
25964908,Star Wars
24199474,Star Wars
6402778,Star Wars
24984946,Star Wars
830080,Harry Potter by J. K. Rowling
31087298,Harry Potter by J. K. Rowling
6458305,Harry Potter by J. K. Rowling
17477249,Harry Potter by J. K. Rowling
24799930,Harry Potter by J. K. Rowling
6706702,Harry Potter by J. K. Rowling
876098,Harry Potter by J. K. Rowling
13142079,Harry Potter by J. K. Rowling
2034369,Harry Potter by J. K. Rowling
4923994,Harry Potter by J. K. Rowling
22124083,Harry Potter by J. K. Rowling
13064187,Harry Potter by J. K. Rowling
7945231,Harry Potter by J. K. Rowling
12007524,Harry Potter by J. K. Rowling
12378879,Harry Potter by J. K. Rowling
32534665,Harry Potter by J. K. Rowling
27977304,Harry Potter by J. K. Rowling
28901721,Harry Potter by J. K. Rowling
13151727,Harry Potter by J. K. Rowling
32747020,Harry Potter by J. K. Rowling
757029,Harry Potter by J. K. Rowling
27520969,Harry Potter by J. K. Rowling
26839228,Harry Potter by J. K. Rowling
7584640,Harry Potter by J. K. Rowling
16592630,Harry Potter by J. K. Rowling
28853280,Harry Potter by J. K. Rowling
1065010,Harry Potter by J. K. Rowling
14041068,Harry Potter by J. K. Rowling
40010886,Harry Potter by J. K. Rowling
11294718,Fantastic Beasts and Where to Find Them
272028,Harry Potter by J. K. Rowling
5050006,Harry Potter by J. K. Rowling
26487115,Harry Potter by J. K. Rowling
3382706,Harry Potter by J. K. Rowling
65427,Harry Potter by J. K. Rowling
6468994,Harry Potter by J. K. Rowling
28250142,Harry Potter by J. K. Rowling
16606967,Harry Potter by J. K. Rowling
26487928,Harry Potter by J. K. Rowling
26487370,Harry Potter by J. K. Rowling
7249483,Harry Potter by J. K. Rowling
31363010,Harry Potter by J. K. Rowling
7635880,Harry Potter by J. K. Rowling
26494183,Harry Potter by J. K. Rowling
7909927,Harry Potter by J. K. Rowling
6586855,Harry Potter by J. K. Rowling
18611800,Harry Potter by J. K. Rowling
474850,Harry Potter by J. K. Rowling
13151907,Harry Potter by J. K. Rowling
20482781,Harry Potter by J. K. Rowling
5048671,Harry Potter by J. K. Rowling
24904108,Harry Potter by J. K. Rowling
29536533,Harry Potter by J. K. Rowling
8243507,Harry Potter by J. K. Rowling
4358156,Harry Potter by J. K. Rowling
37947727,Harry Potter by J. K. Rowling
